game_id,round,team_region,team_seed,team,opp_region,opp_seed,opponent,wab,barthag,adj_oe,adj_de,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,2p_pct,2pd_pct,3p_pct,3pd_pct,3pr,3prd,adj_tempo,win_prob_raw,win_prob
r1_r3_g03,Round 1,Region 3,3,Louisville,Region 3,14,Vermont,12.945992604071089,0.2249201109539714,5.804304595768173,24.191281695550643,-6.899999999999999,6.5,-58.9,58.7,-34.4,44.6,-53.5,55.5,-5.299999999999997,6.200000000000003,-40.49999999999999,38.0,-37.4,32.3,6.708975527296047,0.9851362385202797,0.9768981939357663
r1_r3_g04,Round 1,Region 3,4,West Virginia,Region 3,13,Miami OH,10.208596777070458,0.1461220881169427,-4.907139496291634,27.40105924535966,-5.299999999999997,2.3999999999999986,-50.5,46.7,-32.0,47.10000000000001,-35.7,46.400000000000006,-6.800000000000004,4.899999999999999,-34.89999999999999,31.8,-33.39999999999999,25.099999999999994,1.7466052582929166,0.9636535328208964,0.9531577278845961
r1_r3_g05,Round 1,Region 3,5,Kentucky,Region 3,12,James Madison,7.206114777921705,0.0507009179936688,-2.32831270730901,17.134421455910697,-6.100000000000001,8.100000000000001,-59.60000000000001,59.6,-38.49999999999999,37.6,-46.6,45.4,-7.099999999999994,6.899999999999999,-35.2,40.5,-27.6,35.5,-2.4203840863349058,0.8830979517894777,0.8389826953679763
r1_r3_g06,Round 1,Region 3,6,Alabama,Region 3,11,Rhode Island,4.222250936606236,0.0809306070176444,-4.7436067266564095,16.60816042553769,-7.5,10.099999999999994,-56.7,60.50000000000001,-43.7,37.1,-53.3,44.39999999999999,-9.799999999999995,9.599999999999994,-35.7,40.5,-31.5,38.7,2.051449447213983,0.8171186325380781,0.7698005091940905
r1_r3_g07,Round 1,Region 3,7,N.C. State,Region 3,10,Tennessee,0.3886699357102761,-0.0033745737629817,-6.3911593318921405,4.965514304149281,-3.200000000000003,7.100000000000001,-57.60000000000001,61.6,-36.2,39.1,-47.0,57.7,-2.3000000000000043,5.300000000000004,-36.900000000000006,39.6,-42.7,18.5,-2.529622966783436,0.5469107476394449,0.47867120771013955
r1_r3_g08,Round 1,Region 3,8,Oregon,Region 3,9,Virginia Tech,0.8518786703025834,0.0152389500654449,-11.810183118956289,16.101224377341083,-7.199999999999996,9.5,-55.00000000000001,56.3,-42.2,34.8,-40.900000000000006,45.89999999999999,-8.899999999999999,8.299999999999997,-34.8,40.8,-41.8,37.5,-0.4064595618433912,0.6232701281108334,0.5802689255191666
r1_r4_g01,Round 1,Region 4,1,South Carolina,Region 4,16,Southern,22.3988692959506,0.6977492020528622,16.34824292626537,45.255924990319954,-0.9999999999999928,18.300000000000004,-52.7,51.8,-24.6,36.3,-25.800000000000004,50.1,0.8999999999999986,22.0,-36.7,39.2,-43.5,39.900000000000006,1.4228912032645695,0.9997158584603447,0.9996122786265902
r1_r4_g02,Round 1,Region 4,2,Iowa,Region 4,15,Fairleigh Dickinson,13.86929968738798,0.3710055400626602,6.453922021962768,28.01033148741932,-5.899999999999999,3.899999999999999,-57.50000000000001,58.3,-40.7,35.99999999999999,-47.8,61.1,-7.200000000000003,6.5,-34.7,33.4,-42.3,20.0,6.788130987761278,0.9876008337519346,0.9815051021947196
r1_r4_g03,Round 1,Region 4,3,TCU,Region 4,14,UC San Diego,12.654078498391042,0.3036172814684451,2.8975409770728504,27.28402463299372,-0.6999999999999957,14.800000000000004,-53.2,61.89999999999999,-36.3,49.39999999999999,-51.6,46.5,-0.5999999999999943,15.799999999999995,-33.8,41.6,-20.4,36.5,-2.488362121972856,0.9863029246712485,0.9810634270215202
r1_r4_g04,Round 1,Region 4,4,Oklahoma,Region 4,13,Idaho,9.852446515738825,0.2027695996182692,0.0483927164563624,26.08266709786595,-8.100000000000001,12.6,-59.1,57.0,-35.7,35.9,-46.2,40.2,-8.299999999999997,12.799999999999995,-39.3,41.6,-31.7,33.2,4.075747156210056,0.9683189374190934,0.9573207885193062
r1_r4_g05,Round 1,Region 4,5,Michigan St.,Region 4,12,Colorado St.,8.73844826164624,0.1257955810302558,2.2646312920368388,17.580533519526426,-5.299999999999997,3.3999999999999986,-62.2,56.6,-40.10000000000001,46.7,-41.5,46.0,-7.399999999999999,4.200000000000003,-34.300000000000004,34.60000000000001,-30.599999999999994,27.7,6.2565472401655455,0.9447550449067139,0.917111095796417
r1_r4_g06,Round 1,Region 4,6,Washington,Region 4,11,South Dakota St.,4.329002787109999,0.0648280882031805,-0.1646491202800746,13.432103090585386,-5.299999999999997,0.79999999999999,-59.10000000000001,60.8,-39.3,40.9,-56.900000000000006,46.400000000000006,-5.100000000000001,-0.6999999999999957,-37.1,35.99999999999999,-23.7,35.5,-1.2924091572932357,0.8743456310457212,0.8139594734003798
