game_id,side,id,year,region,round,high_bracket_seed,high_team_id,low_bracket_seed,low_team_id,high_bracket_score,low_bracket_score,point_diff,point_total,win
20221107,a,1107,2022,South,First Round,7,2022 Colorado,10,2022 Creighton,74,84,-10,158,0
20231107,a,1107,2023,South,First Round,7,2023 Arizona,10,2023 West Virginia,75,62,13,137,1
20241107,a,1107,2024,South,First Round,7,2024 Mississippi,10,2024 Marquette,67,55,12,122,1
20251107a,a,1107,2025,South,First Round,7,2025 Michigan St.,10,2025 Harvard,64,50,14,114,1
20211207,a,1207,2021,West,First Round,7,2021 Alabama,10,2021 North Carolina,80,71,9,151,1
20221207,a,1207,2022,Midwest,First Round,7,2022 Mississippi,10,2022 South Dakota,61,75,-14,136,0
20231207,a,1207,2023,Midwest,First Round,7,2023 North Carolina St.,10,2023 Princeton,63,64,-1,127,0
20241207,a,1207,2024,Midwest,First Round,7,2024 Iowa St.,10,2024 Maryland,93,86,7,179,1
20251207a,a,1207,2025,Midwest,First Round,7,2025 Vanderbilt,10,2025 Oregon,73,77,-4,150,0
20211307,a,1307,2021,South,First Round,7,2021 Iowa St.,10,2021 Michigan St.,79,75,4,154,1
20221307,a,1307,2022,West,First Round,7,2022 Utah,10,2022 Arkansas,92,69,23,161,1
20231307,a,1307,2023,West,First Round,7,2023 Baylor,10,2023 Alabama,78,74,4,152,1
20241307,a,1307,2024,East,First Round,7,2024 Creighton,10,2024 UNLV,87,73,14,160,1
20251307a,a,1307,2025,East,First Round,7,2025 Louisville,10,2025 Louisville,63,58,5,121,1
20211407,a,1407,2021,Midwest,First Round,7,2021 Virginia Tech,10,2021 Marquette,70,63,7,133,1
20221407,a,1407,2022,East,First Round,7,2022 UCF,10,2022 Florida,69,52,17,121,1
20231407,a,1407,2023,East,First Round,7,2023 Florida St.,10,2023 Georgia,54,66,-12,120,0
20241407,a,1407,2024,West,First Round,7,2024 Duke,10,2024 Richmond,72,61,11,133,1
20251407a,a,1407,2025,West,First Round,7,2025 Oklahoma St.,10,2025 South Dakota St.,68,74,-6,142,0
20222112,b,2112,2022,South,Second Round,2,2022 Iowa,10,2022 Creighton,62,64,-2,126,0
20222212,b,2212,2022,Midwest,Second Round,2,2022 Baylor,10,2022 South Dakota,47,61,-14,108,0
20232212,b,2212,2023,Midwest,Second Round,2,2023 Utah,10,2023 Princeton,63,56,7,119,1
20252212b,b,2212,2025,Midwest,Second Round,2,2025 Duke,10,2025 Oregon,59,53,6,112,1
20232412,b,2412,2023,East,Second Round,2,2023 Iowa,10,2023 Georgia,74,66,8,140,1
20252412b,b,2412,2025,West,Second Round,2,2025 Connecticut,10,2025 South Dakota St.,91,57,34,148,1
20223114,a,3114,2022,South,Sweet 16,3,2022 Iowa St.,10,2022 Creighton,68,76,-8,144,0
20223214,a,3214,2022,Midwest,Sweet 16,3,2022 Michigan,10,2022 South Dakota,52,49,3,101,1
20224115,a,4115,2022,South,Elite Eight,1,2022 South Carolina,10,2022 Creighton,80,50,30,130,1
20211103,a,1103,2021,East,First Round,6,2021 Oregon,11,2021 South Dakota,67,47,20,114,1
20221103,a,1103,2022,South,First Round,6,2022 Georgia,11,2022 Dayton,70,54,16,124,1
20231103,a,1103,2023,South,First Round,6,2023 Creighton,11,2023 Mississippi St.,66,81,-15,147,0
20241103,a,1103,2024,South,First Round,6,2024 Nebraska,11,2024 Texas A&M,61,59,2,120,1
20251103a,a,1103,2025,South,First Round,6,2025 Florida St.,11,2025 George Mason,94,59,35,153,1
20211203,a,1203,2021,West,First Round,6,2021 Texas,11,2021 Bradley,81,62,19,143,1
20221203,a,1203,2022,Midwest,First Round,6,2022 BYU,11,2022 Villanova,57,61,-4,118,0
20231203,a,1203,2023,Midwest,First Round,6,2023 Michigan,11,2023 UNLV,71,59,12,130,1
20241203,a,1203,2024,Midwest,First Round,6,2024 Tennessee,11,2024 Green Bay,92,63,29,155,1
20251203a,a,1203,2025,Midwest,First Round,6,2025 West Virginia,11,2025 Columbia,78,59,19,137,1
20211303,a,1303,2021,South,First Round,6,2021 Rutgers,11,2021 BYU,66,69,-3,135,0
20221303,a,1303,2022,West,First Round,6,2022 Ohio St.,11,2022 Missouri St.,63,56,7,119,1
20231303,a,1303,2023,West,First Round,6,2023 North Carolina,11,2023 St. John's,61,59,2,120,1
20241303,a,1303,2024,East,First Round,6,2024 Louisville,11,2024 Middle Tennessee,69,71,-2,140,0
20251303a,a,1303,2025,East,First Round,6,2025 Michigan,11,2025 Michigan,80,74,6,154,1
20211403,a,1403,2021,Midwest,First Round,6,2021 Michigan,11,2021 Florida Gulf Coast,87,66,21,153,1
20221403,a,1403,2022,East,First Round,6,2022 Kentucky,11,2022 Princeton,62,69,-7,131,0
20231403,a,1403,2023,East,First Round,6,2023 Colorado,11,2023 Middle Tennessee,82,60,22,142,1
20241403,a,1403,2024,West,First Round,6,2024 Syracuse,11,2024 Arizona,74,69,5,143,1
20251403a,a,1403,2025,West,First Round,6,2025 Iowa,11,2025 Murray St.,92,57,35,149,1
20232111,b,2111,2023,South,Second Round,3,2023 Notre Dame,11,2023 Mississippi St.,53,48,5,101,1
20222211,b,2211,2022,Midwest,Second Round,3,2022 Michigan,11,2022 Villanova,64,49,15,113,1
20212311,b,2311,2021,South,Second Round,3,2021 Arizona,11,2021 BYU,52,46,6,98,1
20242311,b,2311,2024,East,Second Round,3,2024 LSU,11,2024 Middle Tennessee,83,56,27,139,1
20222411,b,2411,2022,East,Second Round,3,2022 Indiana,11,2022 Princeton,56,55,1,111,1
20211106,a,1106,2021,East,First Round,5,2021 Missouri St.,12,2021 UC Davis,70,51,19,121,1
20221106,a,1106,2022,South,First Round,5,2022 North Carolina,12,2022 Stephen F. Austin,79,66,13,145,1
20231106,a,1106,2023,South,First Round,5,2023 Oklahoma,12,2023 Portland,85,63,22,148,1
20241106,a,1106,2024,South,First Round,5,2024 Oklahoma,12,2024 Florida Gulf Coast,73,70,3,143,1
20251106a,a,1106,2025,South,First Round,5,2025 Mississippi,12,2025 Ball St.,83,65,18,148,1
