year,team,seed,tier,bracket_value,overall,offense,defense,finish
2023,Duke,3,C,0.0,8.41,3.1,9.87,Second Round
2023,Texas,4,C,0.0,8.74,6.1,9.3,Second Round
2023,Georgia,10,D,0.0,5.92,3.82,9.09,Second Round
2024,Oklahoma,5,C,0.0,7.82,6.32,5.89,Second Round
2024,Nebraska,6,C,0.0,5.54,6.99,3.01,Second Round
2024,Mississippi,7,D,0.0,5.89,3.9,8.23,Second Round
2024,North Carolina,8,D,0.0,5.06,3.71,6.64,Second Round
2024,Utah,5,C,0.0,7.45,9.68,2.34,Second Round
2024,Tennessee,6,C,0.0,5.84,6.72,3.79,Second Round
2024,Iowa St.,7,D,0.0,6.08,8.76,2.4,Second Round
2024,Alabama,8,C,0.0,6.1,6.67,6.43,Second Round
2024,Kansas St.,4,B,0.0,8.31,5.33,9.01,Second Round
2024,Creighton,7,D,0.0,6.75,7.42,3.63,Second Round
2024,West Virginia,8,C,0.0,8.17,6.02,9.17,Second Round
2024,Middle Tennessee,11,D,0.0,4.73,6.13,6.94,Second Round
2024,Ohio St.,2,A,0.0,9.14,8.04,8.12,Second Round
2024,Virginia Tech,4,B,0.0,7.53,8.71,4.76,Second Round
2024,Syracuse,6,C,0.0,5.59,5.89,4.49,Second Round
2024,Kansas,8,C,0.0,5.33,5.19,5.35,Second Round
2025,Baylor,4,B,0.0,8.84,7.53,7.99,Second Round
2025,Florida St.,6,C,0.0,7.66,7.61,3.55,Second Round
2025,Michigan St.,7,C,0.0,8.28,6.45,8.04,Second Round
2025,Richmond,8,D,0.0,6.51,9.7,4.12,Second Round
2025,Kentucky,4,B,0.0,8.79,7.96,8.28,Second Round
2025,Iowa,6,C,0.0,8.15,8.39,5.94,Second Round
2025,Mississippi St.,9,C,0.0,6.96,7.15,6.45,Second Round
2025,South Dakota St.,10,D,0.0,4.39,7.58,1.73,Second Round
2025,Alabama,5,B,0.0,8.71,9.09,7.77,Second Round
2025,West Virginia,6,B,0.0,8.9,7.88,9.19,Second Round
2025,Indiana,9,D,0.0,6.29,6.53,4.52,Second Round
2025,Oregon,10,D,0.0,5.76,3.66,6.61,Second Round
2025,Ohio St.,4,B,0.0,8.68,5.57,7.69,Second Round
2025,Michigan,6,B,0.0,8.07,8.17,5.3,Second Round
2025,Louisville,7,C,0.0,6.83,6.29,4.63,Second Round
2025,Illinois,8,C,0.0,5.86,5.35,4.73,Second Round
2021,Baylor,2,S,0.0,9.7,8.28,9.97,Elite Eight
2021,Texas,6,B,0.0,5.81,3.77,6.72,Elite Eight
2021,Indiana,4,B,0.0,7.29,4.28,7.45,Elite Eight
2021,Louisville,2,A,0.0,8.87,8.47,8.01,Elite Eight
2022,North Carolina St.,1,S,0.0,9.57,8.82,7.93,Elite Eight
2022,Creighton,10,D,0.0,4.47,8.63,1.75,Elite Eight
2022,Michigan,3,A,0.0,7.64,6.78,6.29,Elite Eight
2022,Texas,2,A,0.0,9.06,5.43,9.46,Elite Eight
2023,Maryland,2,B,0.0,8.36,6.27,6.02,Elite Eight
2023,Ohio St.,3,B,0.0,7.77,6.64,4.9,Elite Eight
2023,Miami FL,9,C,0.0,4.04,5.3,3.66,Elite Eight
2023,Louisville,5,B,0.0,6.91,6.43,6.19,Elite Eight
2024,Oregon St.,3,A,0.0,7.93,7.72,6.13,Elite Eight
2024,Texas,1,S,0.0,9.52,9.33,8.39,Elite Eight
2024,LSU,3,A,0.0,9.27,9.01,8.17,Elite Eight
2024,USC,1,A,0.0,9.01,6.88,7.18,Elite Eight
2025,LSU,3,A,0.0,9.36,7.82,8.68,Elite Eight
2025,USC,1,A,0.0,9.87,8.12,9.7,Elite Eight
2025,Duke,2,A,0.0,9.41,6.94,9.57,Elite Eight
2025,TCU,2,A,0.0,9.33,9.84,6.08,Elite Eight
2021,Iowa,5,C,0.0,7.04,9.97,1.11,Sweet 16
2021,Michigan,6,B,0.0,7.26,8.01,5.46,Sweet 16
2021,Maryland,2,B,0.0,9.44,9.92,4.55,Sweet 16
2021,Georgia Tech,5,C,0.0,4.49,4.49,4.2,Sweet 16
2021,North Carolina St.,1,A,0.0,8.63,7.47,6.67,Sweet 16
2021,Texas A&M,2,A,0.0,8.2,6.19,6.32,Sweet 16
2021,Missouri St.,5,C,0.0,5.51,3.36,5.78,Sweet 16
2021,Oregon,6,B,0.0,7.56,7.39,7.07,Sweet 16
2022,Indiana,3,C,0.0,6.78,4.25,6.1,Sweet 16
2022,Notre Dame,5,B,0.0,6.86,4.95,5.33,Sweet 16
2022,Iowa St.,3,C,0.0,7.9,8.9,2.77,Sweet 16
2022,North Carolina,5,C,0.0,8.5,3.96,9.68,Sweet 16
2022,Tennessee,4,C,0.0,8.33,4.12,9.11,Sweet 16
2022,South Dakota,10,D,0.0,5.08,3.44,8.25,Sweet 16
2022,Maryland,4,B,0.0,7.15,7.1,3.61,Sweet 16
2022,Ohio St.,6,C,0.0,6.7,6.0,5.03,Sweet 16
2023,Notre Dame,3,A,0.0,8.82,6.8,8.41,Sweet 16
2023,UCLA,4,C,0.0,7.23,5.27,7.1,Sweet 16
2023,Connecticut,2,S,0.0,9.68,9.54,9.03,Sweet 16
2023,Tennessee,4,B,0.0,8.04,7.77,6.05,Sweet 16
2023,Utah,2,C,0.0,9.09,9.89,2.99,Sweet 16
2023,Villanova,4,B,0.0,7.74,6.48,7.29,Sweet 16
2023,Colorado,6,C,0.0,7.02,5.38,7.56,Sweet 16
2023,Mississippi,8,D,0.0,7.21,4.36,9.44,Sweet 16
2024,Notre Dame,2,A,0.0,9.03,5.97,8.74,Sweet 16
2024,Indiana,4,C,0.0,8.09,9.41,3.93,Sweet 16
2024,Stanford,2,A,0.0,9.3,9.6,6.8,Sweet 16
2024,Gonzaga,4,C,0.0,7.8,9.95,3.36,Sweet 16
2024,UCLA,2,S,0.0,9.38,9.11,8.33,Sweet 16
2024,Colorado,5,C,0.0,7.69,7.34,5.11,Sweet 16
2024,Baylor,5,B,0.0,8.25,6.75,7.58,Sweet 16
2024,Duke,7,D,0.0,7.37,5.76,9.25,Sweet 16
2025,North Carolina St.,2,A,0.0,8.66,7.04,5.06,Sweet 16
2025,Mississippi,5,B,0.0,7.72,6.86,7.21,Sweet 16
2025,Oklahoma,3,A,0.0,9.6,9.14,7.74,Sweet 16
2025,Kansas St.,5,B,0.0,8.55,9.19,6.83,Sweet 16
2025,North Carolina,3,C,0.0,8.52,4.68,9.06,Sweet 16
