round,team_region,team_seed,opp_region,opp_seed
Sweet 16,Region 2,16,Region 2,13
Sweet 16,Region 2,16,Region 2,5
Sweet 16,Region 2,16,Region 2,12
Sweet 16,Region 2,8,Region 2,4
Sweet 16,Region 2,8,Region 2,13
Sweet 16,Region 2,8,Region 2,5
Sweet 16,Region 2,8,Region 2,12
Sweet 16,Region 2,9,Region 2,4
Sweet 16,Region 2,9,Region 2,13
Sweet 16,Region 2,9,Region 2,5
Sweet 16,Region 2,9,Region 2,12
Sweet 16,Region 2,2,Region 2,3
Sweet 16,Region 2,2,Region 2,14
Sweet 16,Region 2,2,Region 2,6
Sweet 16,Region 2,2,Region 2,11
Sweet 16,Region 2,15,Region 2,3
Sweet 16,Region 2,15,Region 2,14
Sweet 16,Region 2,15,Region 2,6
Sweet 16,Region 2,15,Region 2,11
Sweet 16,Region 2,7,Region 2,3
Sweet 16,Region 2,7,Region 2,14
Sweet 16,Region 2,7,Region 2,6
Sweet 16,Region 2,7,Region 2,11
Sweet 16,Region 2,10,Region 2,3
Sweet 16,Region 2,10,Region 2,14
Sweet 16,Region 2,10,Region 2,6
Sweet 16,Region 2,10,Region 2,11
Sweet 16,Region 3,1,Region 3,4
Sweet 16,Region 3,1,Region 3,13
Sweet 16,Region 3,1,Region 3,5
Sweet 16,Region 3,1,Region 3,12
Sweet 16,Region 3,16,Region 3,4
Sweet 16,Region 3,16,Region 3,13
Sweet 16,Region 3,16,Region 3,5
Sweet 16,Region 3,16,Region 3,12
Sweet 16,Region 3,8,Region 3,4
Sweet 16,Region 3,8,Region 3,13
Sweet 16,Region 3,8,Region 3,5
Sweet 16,Region 3,8,Region 3,12
Sweet 16,Region 3,9,Region 3,4
Sweet 16,Region 3,9,Region 3,13
Sweet 16,Region 3,9,Region 3,5
Sweet 16,Region 3,9,Region 3,12
Sweet 16,Region 3,2,Region 3,3
Sweet 16,Region 3,2,Region 3,14
Sweet 16,Region 3,2,Region 3,6
Sweet 16,Region 3,2,Region 3,11
Sweet 16,Region 3,15,Region 3,3
Sweet 16,Region 3,15,Region 3,14
Sweet 16,Region 3,15,Region 3,6
Sweet 16,Region 3,15,Region 3,11
Sweet 16,Region 3,7,Region 3,3
Sweet 16,Region 3,7,Region 3,14
Sweet 16,Region 3,7,Region 3,6
Sweet 16,Region 3,7,Region 3,11
Sweet 16,Region 3,10,Region 3,3
Sweet 16,Region 3,10,Region 3,14
Sweet 16,Region 3,10,Region 3,6
Sweet 16,Region 3,10,Region 3,11
Sweet 16,Region 4,1,Region 4,4
Sweet 16,Region 4,1,Region 4,13
Sweet 16,Region 4,1,Region 4,5
