torvik_id,year,rank,team,conf,games,record,adj_oe,adj_de,barthag,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,2p_pct,2pd_pct,3p_pct,3pd_pct,3pr,3prd,adj_tempo,wab
2023 Illinois St.,2023,89,Illinois St.,MVC,31,23–8,101.5,90.6,0.7863,48.8,44.1,18.3,22.6,28.6,32.4,31.6,31.6,45.1,44.2,37,29.3,35.4,35.2,67.5,-2.9
2023 Holy Cross,2023,170,Holy Cross,Pat,31,23–8,90.1,91,0.4724,47.5,41.2,22.6,22,29.4,28.9,26.4,22.6,47.1,39.8,32.3,29.8,28.4,28.9,65.7,-6.1
2024 Mississippi,2024,27,Mississippi,SEC,31,23–8,104.7,79.1,0.9614,44.3,41.6,22.1,24.2,40.8,29.1,38,29.5,45.4,39.7,26.4,31.6,19.5,24.5,67.9,2.9
2024 Marquette,2024,36,Marquette,BE,31,23–8,103.8,80.4,0.9499,50.7,44.6,20.9,23.1,30.3,23.1,22.9,24,48.8,43,36.7,32.2,30.7,29.5,70.4,1.6
2024 Grand Canyon,2024,90,Grand Canyon,WAC,31,23–8,94.6,84.6,0.7824,48.8,44,22.5,26.3,33.7,26.7,28.5,30.8,49.3,43.2,31.8,30.2,30.9,36.5,66.9,-6
2024 UC Irvine,2024,124,UC Irvine,BW,31,23–8,91.9,86.8,0.6593,43.6,44.2,21.7,28.3,36.2,28.1,28.4,27.9,45.5,42.6,26,31.4,28.7,35.5,67,-6.3
2025 Columbia,2025,44,Columbia,Ivy,31,24-7,108.5,87.3,0.9243,49.7,47.2,20.5,26.8,42.7,28.9,26,22.3,51.1,48.2,31.6,30.2,39.1,34.2,68.3,0.7
2023 Fairleigh Dickinson,2023,143,Fairleigh Dickinson,NEC,31,24–7,93.1,90.3,0.5849,48.3,39.7,21.5,24,34,29,26.2,26.7,46.6,41.9,34.1,22.4,36.8,27.2,66.5,-5.6
2024 Baylor,2024,14,Baylor,B12,31,24–7,107.4,75.6,0.9827,50.6,43.4,21.8,25.6,35.4,24.6,24.4,25.1,50.9,45.2,33.3,26.1,36.2,30,73.2,5
2024 West Virginia,2024,17,West Virginia,B12,31,24–7,106.8,75.7,0.9811,50.7,44.7,20.6,32.7,30,31.8,32.5,31.1,51.9,44.6,32.4,29.8,36.1,30.4,72.4,3.7
2024 Oregon St.,2024,18,Oregon St.,P12,31,24–7,112.4,80,0.9805,52.9,39.8,19.2,13.6,29.1,24.9,25.2,18.7,52.4,38.9,35.9,28.1,37.5,28.4,67.6,7.1
2024 Virginia Tech,2024,21,Virginia Tech,ACC,31,24–7,115.1,84.2,0.9733,52.3,42,18.3,17,34.6,25.8,20.3,26.2,52.3,41.2,34.8,29.3,41.5,28,67.3,5.8
2022 Fairfield,2022,124,Fairfield,MAAC,31,25–6,96.7,92.1,0.6387,47.6,44.2,17.3,24.3,27.3,29.6,23.4,19.3,45.9,43.9,34.3,29.8,30.1,41.1,64.6,-2.7
