team_id,year,team,region,seed,finish,weekend,torvik_id
2022 DePaul,2022,DePaul,South,11,First Round,1,2022 DePaul
2022 Stephen F. Austin,2022,Stephen F. Austin,South,12,First Round,1,2022 Stephen F. Austin
2022 UNLV,2022,UNLV,South,13,First Round,1,2022 UNLV
2022 UT Arlington,2022,UT Arlington,South,14,First Round,1,2022 UT Arlington
2022 Illinois St.,2022,Illinois St.,South,15,First Round,1,2022 Illinois St.
2022 Howard,2022,Howard,South,16,First Round,1,2022 Howard
2022 Incarnate Word,2022,Incarnate Word,South,16,First Round,1,2022 Incarnate Word
2022 Oregon,2022,Oregon,Midwest,5,First Round,1,2022 Oregon
2022 BYU,2022,BYU,Midwest,6,First Round,1,2022 BYU
2022 Mississippi,2022,Mississippi,Midwest,7,First Round,1,2022 Mississippi
2022 Nebraska,2022,Nebraska,Midwest,8,First Round,1,2022 Nebraska
2022 Buffalo,2022,Buffalo,Midwest,13,First Round,1,2022 Buffalo
2022 American,2022,American,Midwest,14,First Round,1,2022 American
2022 Hawaii,2022,Hawaii,Midwest,15,First Round,1,2022 Hawaii
2022 Albany,2022,Albany,Midwest,16,First Round,1,2022 Albany
2022 Virginia Tech,2022,Virginia Tech,West,5,First Round,1,2022 Virginia Tech
2022 Georgia Tech,2022,Georgia Tech,West,9,First Round,1,2022 Georgia Tech
2022 Arkansas,2022,Arkansas,West,10,First Round,1,2022 Arkansas
2022 Missouri St.,2022,Missouri St.,West,11,First Round,1,2022 Missouri St.
2022 Florida St.,2022,Florida St.,West,11,First Round,1,2022 Florida St.
2022 Delaware,2022,Delaware,West,13,First Round,1,2022 Delaware
2022 Jackson St.,2022,Jackson St.,West,14,First Round,1,2022 Jackson St.
2022 Fairfield,2022,Fairfield,West,15,First Round,1,2022 Fairfield
2022 Montana St.,2022,Montana St.,West,16,First Round,1,2022 Montana St.
2023 Creighton,2023,Creighton,East,6,First Round,1,2023 Creighton
2023 Marquette,2023,Marquette,East,9,First Round,1,2023 Marquette
2023 West Virginia,2023,West Virginia,East,10,First Round,1,2023 West Virginia
2023 Mississippi St.,2023,Mississippi St.,East,11,First Round,1,2023 Mississippi St.
2023 Portland,2023,Portland,East,12,First Round,1,2023 Portland
2023 Sacramento St.,2023,Sacramento St.,East,13,First Round,1,2023 Sacramento St.
2023 Southern Utah,2023,Southern Utah,East,14,First Round,1,2023 Southern Utah
2023 Holy Cross,2023,Holy Cross,East,15,First Round,1,2023 Holy Cross
2023 Norfolk St.,2023,Norfolk St.,East,16,First Round,1,2023 Norfolk St.
2023 Iowa St.,2023,Iowa St.,South,5,First Round,1,2023 Iowa St.
2023 USC,2023,USC,South,8,First Round,1,2023 USC
2023 Alabama,2023,Alabama,South,10,First Round,1,2023 Alabama
2023 Purdue,2023,Purdue,South,11,First Round,1,2023 Purdue
2023 St. John's,2023,St. John's,South,11,First Round,1,2023 St. John's
2023 Saint Louis,2023,Saint Louis,South,13,First Round,1,2023 Saint Louis
2023 James Madison,2023,James Madison,South,14,First Round,1,2023 James Madison
2023 Vermont,2023,Vermont,South,15,First Round,1,2023 Vermont
2023 Chattanooga,2023,Chattanooga,South,16,First Round,1,2023 Chattanooga
2023 Washington St.,2023,Washington St.,Midwest,5,First Round,1,2023 Washington St.
2023 North Carolina St.,2023,North Carolina St.,Midwest,7,First Round,1,2023 N.C. State
2023 Oklahoma St.,2023,Oklahoma St.,Midwest,8,First Round,1,2023 Oklahoma St.
2023 UNLV,2023,UNLV,Midwest,11,First Round,1,2023 UNLV
2023 Cleveland St.,2023,Cleveland St.,Midwest,13,First Round,1,2023 Cleveland St.
2023 Hawaii,2023,Hawaii,Midwest,14,First Round,1,2023 Hawaii
2023 Gardner Webb,2023,Gardner Webb,Midwest,15,First Round,1,2023 Gardner Webb
2023 Tennessee Tech,2023,Tennessee Tech,Midwest,16,First Round,1,2023 Tennessee Tech
2023 Monmouth,2023,Monmouth,Midwest,16,First Round,1,2023 Monmouth
2023 Florida St.,2023,Florida St.,West,7,First Round,1,2023 Florida St.
2023 Gonzaga,2023,Gonzaga,West,9,First Round,1,2023 Gonzaga
2023 Middle Tennessee,2023,Middle Tennessee,West,11,First Round,1,2023 Middle Tennessee
2023 Drake,2023,Drake,West,12,First Round,1,2023 Drake
2023 East Carolina,2023,East Carolina,West,13,First Round,1,2023 East Carolina
2023 Iona,2023,Iona,West,14,First Round,1,2023 Iona
2023 Southeastern Louisiana,2023,Southeastern Louisiana,West,15,First Round,1,2023 Southeastern Louisiana
2023 Southern,2023,Southern,West,16,First Round,1,2023 Southern
2023 Sacred Heart,2023,Sacred Heart,West,16,First Round,1,2023 Sacred Heart
2024 Michigan St.,2024,Michigan St.,East,9,First Round,1,2024 Michigan St.
2024 Marquette,2024,Marquette,East,10,First Round,1,2024 Marquette
2024 Texas A&M,2024,Texas A&M,East,11,First Round,1,2024 Texas A&M
2024 Florida Gulf Coast,2024,Florida Gulf Coast,East,12,First Round,1,2024 Florida Gulf Coast
2024 Fairfield,2024,Fairfield,East,13,First Round,1,2024 Fairfield
2024 Eastern Washington,2024,Eastern Washington,East,14,First Round,1,2024 Eastern Washington
2024 Kent St.,2024,Kent St.,East,15,First Round,1,2024 Kent St.
2024 Sacred Heart,2024,Sacred Heart,East,16,First Round,1,2024 Sacred Heart
2024 Presbyterian,2024,Presbyterian,East,16,First Round,1,2024 Presbyterian
2024 Florida St.,2024,Florida St.,South,9,First Round,1,2024 Florida St.
2024 Maryland,2024,Maryland,South,10,First Round,1,2024 Maryland
2024 Green Bay,2024,Green Bay,South,11,First Round,1,2024 Green Bay
2024 South Dakota St.,2024,South Dakota St.,South,12,First Round,1,2024 South Dakota St.
2024 UC Irvine,2024,UC Irvine,South,13,First Round,1,2024 UC Irvine
2024 Chattanooga,2024,Chattanooga,South,14,First Round,1,2024 Chattanooga
2024 Norfolk St.,2024,Norfolk St.,South,15,First Round,1,2024 Norfolk St.
2024 Drexel,2024,Drexel,South,16,First Round,1,2024 Drexel
2024 Louisville,2024,Louisville,Midwest,6,First Round,1,2024 Louisville
2024 Princeton,2024,Princeton,Midwest,9,First Round,1,2024 Princeton
2024 UNLV,2024,UNLV,Midwest,10,First Round,1,2024 UNLV
2024 Drake,2024,Drake,Midwest,12,First Round,1,2024 Drake
2024 Portland,2024,Portland,Midwest,13,First Round,1,2024 Portland
2024 Rice,2024,Rice,Midwest,14,First Round,1,2024 Rice
2024 California Baptist,2024,California Baptist,Midwest,15,First Round,1,2024 Cal Baptist
2024 Holy Cross,2024,Holy Cross,Midwest,16,First Round,1,2024 Holy Cross
2024 UT Martin,2024,UT Martin,Midwest,16,First Round,1,2024 Tennessee Martin
2024 Michigan,2024,Michigan,West,9,First Round,1,2024 Michigan
2024 Richmond,2024,Richmond,West,10,First Round,1,2024 Richmond
2024 Auburn,2024,Auburn,West,11,First Round,1,2024 Auburn
2024 Arizona,2024,Arizona,West,11,First Round,1,2024 Arizona
2024 Vanderbilt,2024,Vanderbilt,West,12,First Round,1,2024 Vanderbilt
2024 Columbia,2024,Columbia,West,12,First Round,1,2024 Columbia
2024 Marshall,2024,Marshall,West,13,First Round,1,2024 Marshall
2024 Jackson St.,2024,Jackson St.,West,14,First Round,1,2024 Jackson St.
2024 Maine,2024,Maine,West,15,First Round,1,2024 Maine
2024 Texas A&M Corpus Chris,2024,Texas A&M Corpus Chris,West,16,First Round,1,2024 Texas A&M Corpus Chris
2025 Georgia Tech,2025,Georgia Tech,East,9,First Round,1,2025 Georgia Tech
2025 Harvard,2025,Harvard,East,10,First Round,1,2025 Harvard
2025 George Mason,2025,George Mason,East,11,First Round,1,2025 George Mason
2025 Ball St.,2025,Ball St.,East,12,First Round,1,2025 Ball St.
2025 Grand Canyon,2025,Grand Canyon,East,13,First Round,1,2025 Grand Canyon
2025 San Diego St.,2025,San Diego St.,East,14,First Round,1,2025 San Diego St.
2025 Vermont,2025,Vermont,East,15,First Round,1,2025 Vermont
2025 UC San Diego,2025,UC San Diego,East,16,First Round,1,2025 UC San Diego
2025 Southern,2025,Southern,East,16,First Round,1,2025 Southern
2025 Oklahoma St.,2025,Oklahoma St.,South,7,First Round,1,2025 Oklahoma St.
2025 California,2025,California,South,8,First Round,1,2025 California
2025 Murray St.,2025,Murray St.,South,11,First Round,1,2025 Murray St.
2025 Fairfield,2025,Fairfield,South,12,First Round,1,2025 Fairfield
2025 Liberty,2025,Liberty,South,13,First Round,1,2025 Liberty
2025 Florida Gulf Coast,2025,Florida Gulf Coast,South,14,First Round,1,2025 Florida Gulf Coast
2025 Arkansas St.,2025,Arkansas St.,South,15,First Round,1,2025 Arkansas St.
2025 UNC Greensboro,2025,UNC Greensboro,South,16,First Round,1,2025 UNC Greensboro
2025 Vanderbilt,2025,Vanderbilt,Midwest,7,First Round,1,2025 Vanderbilt
2025 Utah,2025,Utah,Midwest,8,First Round,1,2025 Utah
2025 Columbia,2025,Columbia,Midwest,11,First Round,1,2025 Columbia
2025 Washington,2025,Washington,Midwest,11,First Round,1,2025 Washington
2025 Green Bay,2025,Green Bay,Midwest,12,First Round,1,2025 Green Bay
2025 Norfolk St.,2025,Norfolk St.,Midwest,13,First Round,1,2025 Norfolk St.
2025 Oregon St.,2025,Oregon St.,Midwest,14,First Round,1,2025 Oregon St.
2025 Lehigh,2025,Lehigh,Midwest,15,First Round,1,2025 Lehigh
2025 Tennessee Tech,2025,Tennessee Tech,Midwest,16,First Round,1,2025 Tennessee Tech
2025 Creighton,2025,Creighton,West,9,First Round,1,2025 Creighton
2025 Nebraska,2025,Nebraska,West,10,First Round,1,2025 Nebraska
2025 Iowa St.,2025,Iowa St.,West,11,First Round,1,2025 Iowa St.
2025 Princeton,2025,Princeton,West,11,First Round,1,2025 Princeton
2025 South Florida,2025,South Florida,West,12,First Round,1,2025 South Florida
2025 Montana St.,2025,Montana St.,West,13,First Round,1,2025 Montana St.
2025 Stephen F. Austin,2025,Stephen F. Austin,West,14,First Round,1,2025 Stephen F. Austin
2025 Fairleigh Dickinson,2025,Fairleigh Dickinson,West,15,First Round,1,2025 Fairleigh Dickinson
2025 High Point,2025,High Point,West,16,First Round,1,2025 High Point
2025 William & Mary,2025,William & Mary,West,16,First Round,1,2025 William & Mary
2021 Tennessee,2021,Tennessee,East,3,Second Round,1,2021 Tennessee
2021 Kentucky,2021,Kentucky,East,4,Second Round,1,2021 Kentucky
