year,game_id,round,team_region,team_seed,team,opp_region,opp_seed,opponent,win_prob_raw,win_prob
2021,r2_r1_g03,Round 2,Region 1,14,Drexel,Region 1,11,South Dakota,0.05959367448561882,0.058620667806768195
2021,r2_r1_g04,Round 2,Region 1,4,Arkansas,Region 1,5,Missouri St.,0.5908192319167634,0.521111249542122
2021,r2_r1_g04,Round 2,Region 1,4,Arkansas,Region 1,12,UC Davis,0.875020942974552,0.8246095272934114
2021,r2_r1_g04,Round 2,Region 1,13,Wright St.,Region 1,5,Missouri St.,0.1703385656182026,0.1672515256358551
2021,r2_r1_g04,Round 2,Region 1,13,Wright St.,Region 1,12,UC Davis,0.4988797231036974,0.4905740737944816
2021,r2_r2_g01,Round 2,Region 2,1,Connecticut,Region 2,8,Syracuse,0.9781605670974682,0.967516839616629
2021,r2_r2_g01,Round 2,Region 2,1,Connecticut,Region 2,9,South Dakota St.,0.9826765201528671,0.9753716599485084
2021,r2_r2_g01,Round 2,Region 2,16,High Point,Region 2,8,Syracuse,0.05989929865729164,0.05874974720684639
2021,r2_r2_g01,Round 2,Region 2,16,High Point,Region 2,9,South Dakota St.,0.07467071626255153,0.07309457937483595
2021,r2_r2_g02,Round 2,Region 2,2,Baylor,Region 2,7,Virginia Tech,0.9332593926403557,0.9092456244985316
2021,r2_r2_g02,Round 2,Region 2,2,Baylor,Region 2,10,Marquette,0.9506075376066857,0.9354014500265792
2021,r2_r2_g02,Round 2,Region 2,15,Jackson St.,Region 2,7,Virginia Tech,0.08881704477617126,0.08703570051465992
2021,r2_r2_g02,Round 2,Region 2,15,Jackson St.,Region 2,10,Marquette,0.11828923799170911,0.11580839092057954
2021,r2_r2_g03,Round 2,Region 2,3,Tennessee,Region 2,6,Michigan,0.46136916163152825,0.41501010738556054
2021,r2_r2_g03,Round 2,Region 2,3,Tennessee,Region 2,11,Florida Gulf Coast,0.8646151910191798,0.8216498225121563
2021,r2_r2_g03,Round 2,Region 2,14,Middle Tennessee,Region 2,6,Michigan,0.046591893160061085,0.045656174110119796
2021,r2_r2_g03,Round 2,Region 2,14,Middle Tennessee,Region 2,11,Florida Gulf Coast,0.2670539936686007,0.24509033119748608
2021,r2_r2_g04,Round 2,Region 2,4,Kentucky,Region 2,5,Iowa,0.526004260013188,0.4265381303927642
2021,r2_r2_g04,Round 2,Region 2,4,Kentucky,Region 2,12,Central Michigan,0.9231212344824321,0.8558867581193808
2021,r2_r2_g04,Round 2,Region 2,13,Idaho St.,Region 2,5,Iowa,0.173973955143243,0.16021602638158428
2021,r2_r2_g04,Round 2,Region 2,13,Idaho St.,Region 2,12,Central Michigan,0.6950210108201396,0.6118358769988138
2021,r2_r3_g01,Round 2,Region 3,1,North Carolina St.,Region 3,8,South Florida,0.8765359778611038,0.8421200535752474
2021,r2_r3_g01,Round 2,Region 3,1,North Carolina St.,Region 3,9,Washington St.,0.8794434236561042,0.8403443754007768
2021,r2_r3_g01,Round 2,Region 3,16,North Carolina A&T,Region 3,8,South Florida,0.04158611956241177,0.04138349477003785
2021,r2_r3_g01,Round 2,Region 3,16,North Carolina A&T,Region 3,9,Washington St.,0.042681476930600905,0.042397890654586795
2021,r2_r3_g02,Round 2,Region 3,2,Texas A&M,Region 3,7,Iowa St.,0.61636142450352,0.5438155582466001
2021,r2_r3_g02,Round 2,Region 3,2,Texas A&M,Region 3,10,Michigan St.,0.7102823239043793,0.649278121275853
2021,r2_r3_g02,Round 2,Region 3,15,Troy,Region 3,7,Iowa St.,0.08331422854083279,0.08062831687204307
2021,r2_r3_g02,Round 2,Region 3,15,Troy,Region 3,10,Michigan St.,0.12179696194028902,0.11724840555670152
2021,r2_r3_g03,Round 2,Region 3,3,Arizona,Region 3,6,Rutgers,0.571589350018475,0.5342679693547769
2021,r2_r3_g03,Round 2,Region 3,3,Arizona,Region 3,11,BYU,0.8349645598786359,0.8174003718074001
2021,r2_r3_g03,Round 2,Region 3,14,Stony Brook,Region 3,6,Rutgers,0.03934787474780135,0.038968869471909265
2021,r2_r3_g03,Round 2,Region 3,14,Stony Brook,Region 3,11,BYU,0.13443752518688662,0.13210406916730735
2021,r2_r3_g04,Round 2,Region 3,4,Indiana,Region 3,5,Gonzaga,0.5638979696605988,0.5199099195716856
2021,r2_r3_g04,Round 2,Region 3,4,Indiana,Region 3,12,Belmont,0.9572751766242816,0.9395509361844099
2021,r2_r3_g04,Round 2,Region 3,13,VCU,Region 3,5,Gonzaga,0.03790236422724901,0.03747995273134764
2021,r2_r3_g04,Round 2,Region 3,13,VCU,Region 3,12,Belmont,0.4056955446284106,0.3708469378338682
2021,r2_r4_g01,Round 2,Region 4,1,South Carolina,Region 4,8,Oregon St.,0.8858654487848799,0.840876331738321
