team,year,conf,adj_oe,adj_de,barthag,wab,adj_tempo,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,2p_pct,2pd_pct,3p_pct,3pd_pct,3pr,3prd,seed,region
Oklahoma,2026,SEC,111.69081925813836,75.23176586487774,0.9894846789676756,3.710205661397324,78.4679020937366,50.7,37.8,19.400000000000002,23.0,37.6,26.1,27.1,30.4,52.2,36.3,31.6,27.0,32.5,33.9,4,Region 2
TCU,2026,B12,110.9083529453,75.20013037424559,0.9886636447182896,4.095873540766377,69.35413017960906,55.800000000000004,36.7,20.4,22.2,33.4,25.7,23.3,25.6,57.0,35.1,36.0,26.9,40.8,29.1,3,Region 1
Vanderbilt,2026,SEC,123.2903632194253,84.4569712683857,0.9872633191110955,6.563017595844412,71.03397794195138,55.00000000000001,47.0,17.9,29.599999999999998,37.8,33.6,26.200000000000003,22.5,54.8,45.9,36.9,32.7,40.5,35.2,2,Region 2
Tennessee,2026,SEC,112.82522054757244,77.44818227536979,0.986960595680179,4.259843885126838,74.4113580538795,48.0,44.3,20.200000000000003,27.6,37.7,31.900000000000002,26.6,26.400000000000002,50.3,43.7,30.2,30.5,46.1,29.5,4,Region 1
USC,2026,B10,107.12208139147968,73.56194334119637,0.9869028261294682,3.4696728478944463,69.8560765906452,46.6,41.3,19.8,24.4,34.1,32.0,24.3,26.900000000000002,47.0,42.0,30.6,26.3,38.3,27.9,9,Region 1
Iowa,2026,B10,116.93124715974564,80.41472184332984,0.9866851618044826,6.119131548712478,71.2908731981006,54.7,46.300000000000004,20.4,20.599999999999998,33.900000000000006,24.2,30.2,20.599999999999998,55.1,44.6,35.9,32.9,33.1,36.7,3,Region 3
Michigan St.,2026,B10,117.19013444886838,82.12305129584479,0.9835227140315264,5.684645473098176,71.56401870128872,54.900000000000006,47.3,17.299999999999997,28.4,36.0,29.4,31.900000000000002,25.5,55.0,47.4,36.5,31.4,32.4,37.8,3,Region 4
N.C. State,2026,ACC,115.04991274666028,81.6147580552846,0.9810829516637534,2.626182669011975,71.2604897544891,49.4,44.2,16.2,16.900000000000002,32.300000000000004,23.7,22.8,15.7,50.3,44.4,31.5,29.2,29.9,38.1,6,Region 1
Mississippi,2026,SEC,112.17083340323566,79.72298859915949,0.9806751186679102,3.881742390818488,68.83883848743416,48.8,42.5,19.8,27.400000000000002,41.0,26.400000000000002,37.9,30.5,51.6,42.2,27.7,28.9,28.3,25.4,4,Region 3
Kentucky,2026,SEC,112.50761868806931,80.00964490997944,0.9805458339629138,3.621975445020568,67.8415946157916,51.800000000000004,40.8,17.1,20.0,35.099999999999994,24.5,26.6,25.8,54.4,39.2,32.3,29.4,43.3,33.2,5,Region 4
Ohio St.,2026,B10,113.151520243318,80.71046277406819,0.9798734835137852,6.400924944159558,75.38632003460643,51.9,45.300000000000004,17.1,29.599999999999998,32.0,31.2,25.3,24.6,53.3,43.4,32.9,32.7,34.5,33.9,3,Region 2
Oregon,2026,B10,110.20969706341432,78.73463723304863,0.9795171077296868,2.4995589600127883,71.75087008277364,52.400000000000006,44.3,20.3,26.1,29.4,29.099999999999998,26.3,23.9,52.0,45.4,35.5,28.3,33.1,35.3,9,Region 4
North Carolina,2026,ACC,107.79794212932408,77.03322803968285,0.9794524027042012,3.62825969661223,68.98231648113587,51.7,42.0,19.3,24.9,35.199999999999996,26.6,22.3,25.5,52.0,41.3,34.1,28.9,36.4,34.6,6,Region 3
Washington,2026,B10,112.51036423010692,80.99356410333512,0.9776815420982812,2.809206467286992,66.81068404801843,50.9,43.3,20.9,20.599999999999998,38.7,27.6,22.8,22.400000000000002,49.7,43.6,35.6,28.4,33.5,30.5,7,Region 2
West Virginia,2026,B12,107.70291229683043,77.70265835831947,0.9771257220389924,4.6419739739231325,71.8263615489302,50.6,47.199999999999996,23.0,32.4,37.5,26.8,38.7,27.1,50.9,44.3,33.3,35.5,31.7,31.4,5,Region 3
Alabama,2026,SEC,110.5989393085858,80.23583163555114,0.9756557353152676,4.7105385100865576,66.88308148532488,51.7,41.199999999999996,21.2,21.8,32.9,28.299999999999997,28.499999999999996,24.2,49.2,39.3,37.1,30.5,38.9,29.3,6,Region 4
Nebraska,2026,B10,116.64911864048943,84.86637591310672,0.9748656301767552,1.6723914704082108,70.16113081373105,55.1,49.3,19.6,26.0,31.900000000000002,30.099999999999998,27.900000000000002,27.400000000000002,55.2,51.2,36.6,30.7,35.9,36.0,8,Region 3
Texas Tech,2026,B12,107.83206865749952,78.91677942386325,0.973145078802954,3.405604677519872,69.15519694832022,51.4,39.5,22.0,27.400000000000002,31.4,31.2,31.4,29.4,50.3,39.5,35.5,26.2,39.0,32.8,6,Region 2
Baylor,2026,B12,104.22927115664662,76.64591864655722,0.9716690778151044,5.114655489210046,70.18353279340336,49.3,37.9,23.599999999999998,22.7,36.6,33.2,31.4,23.799999999999997,48.6,39.3,33.7,23.3,38.9,30.9,5,Region 2
Oklahoma St.,2026,B12,116.38203051435768,85.93156054170117,0.9703518844905822,1.2695747153835406,70.58615045967271,54.2,47.199999999999996,19.1,26.0,38.3,24.4,27.400000000000002,26.8,55.5,46.5,34.9,32.5,42.4,29.8,8,Region 4
Notre Dame,2026,ACC,114.76258545740686,84.74439058785413,0.9703184473433624,1.834870016636163,71.72912766075477,51.7,47.599999999999994,17.2,27.400000000000002,30.8,30.7,25.0,27.6,51.8,47.3,34.4,32.1,28.3,30.6,8,Region 2
