game_id,side,id,year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,high_bracket_score,low_bracket_score,point_diff,point_total,win
20222312b,b,2312,2022,Region 2,Second Round,2,2022 Villanova,7,2022 Ohio St.,71,61,10,132,1
20222409b,b,2409,2022,Region 3,Second Round,9,2022 Creighton,1,2022 Kansas,72,79,-7,151,0
20222410b,b,2410,2022,Region 3,Second Round,4,2022 Providence,12,2022 Richmond,79,51,28,130,1
20222411b,b,2411,2022,Region 3,Second Round,3,2022 Wisconsin,11,2022 Iowa St.,49,54,-5,103,0
20222412b,b,2412,2022,Region 3,Second Round,2,2022 Auburn,10,2022 Miami FL,61,79,-18,140,0
20223113b,b,3113,2022,Region 1,Sweet 16,4,2022 Arkansas,1,2022 Gonzaga,74,68,6,142,1
20223113b,b,3113,2022,Region 1,Sweet 16,2,2022 Duke,3,2022 Texas Tech,78,73,5,151,1
20223213b,b,3213,2022,Region 4,Sweet 16,4,2022 UCLA,8,2022 North Carolina,66,73,-7,139,0
20223214b,b,3214,2022,Region 4,Sweet 16,15,2022 Saint Peter's,3,2022 Purdue,67,64,3,131,1
20223313b,b,3313,2022,Region 2,Sweet 16,5,2022 Houston,1,2022 Arizona,72,60,12,132,1
20223314b,b,3314,2022,Region 2,Sweet 16,2,2022 Villanova,11,2022 Michigan,63,55,8,118,1
20223413b,b,3413,2022,Region 3,Sweet 16,4,2022 Providence,1,2022 Kansas,61,66,-5,127,0
20223414b,b,3414,2022,Region 3,Sweet 16,10,2022 Miami FL,11,2022 Iowa St.,70,56,14,126,1
20224115b,b,4115,2022,Region 1,Elite Eight,2,2022 Duke,4,2022 Arkansas,78,69,9,147,1
20224215b,b,4215,2022,Region 4,Elite Eight,15,2022 Saint Peter's,8,2022 North Carolina,49,69,-20,118,0
20224315b,b,4315,2022,Region 2,Elite Eight,2,2022 Villanova,5,2022 Houston,50,44,6,94,1
20224415b,b,4415,2022,Region 3,Elite Eight,10,2022 Miami FL,1,2022 Kansas,50,76,-26,126,0
20225516b,b,5516,2022,Final Four,Final Four,8,2022 North Carolina,2,2022 Duke,81,77,4,158,1
20225517b,b,5517,2022,Final Four,Final Four,1,2022 Kansas,2,2022 Villanova,81,65,16,146,1
20225618b,b,5618,2022,Final Four,Championship,1,2022 Kansas,8,2022 North Carolina,72,69,3,141,1
20231101b,b,1101,2023,Region 1,First Round,16,2023 Texas A&M Corpus Chris,1,2023 Alabama,75,96,-21,171,0
20231102b,b,1102,2023,Region 1,First Round,9,2023 West Virginia,8,2023 Maryland,65,67,-2,132,0
20231103b,b,1103,2023,Region 1,First Round,12,2023 Charleston,5,2023 San Diego St.,57,63,-6,120,0
20231104b,b,1104,2023,Region 1,First Round,13,2023 Furman,4,2023 Virginia,68,67,1,135,1
20231105b,b,1105,2023,Region 1,First Round,11,2023 NC St.,6,2023 Creighton,63,72,-9,135,0
20231106b,b,1106,2023,Region 1,First Round,14,2023 UC Santa Barbara,3,2023 Baylor,56,74,-18,130,0
20231107b,b,1107,2023,Region 1,First Round,10,2023 Utah St.,7,2023 Missouri,65,76,-11,141,0
20231108b,b,1108,2023,Region 1,First Round,15,2023 Princeton,2,2023 Arizona,59,55,4,114,1
20231201b,b,1201,2023,Region 4,First Round,16,2023 Fairleigh Dickinson,1,2023 Purdue,63,58,5,121,1
20231202b,b,1202,2023,Region 4,First Round,9,2023 Florida Atlantic,8,2023 Memphis,66,65,1,131,1
20231203b,b,1203,2023,Region 4,First Round,12,2023 Oral Roberts,5,2023 Duke,51,74,-23,125,0
20231204b,b,1204,2023,Region 4,First Round,13,2023 Louisiana,4,2023 Tennessee,55,58,-3,113,0
20231205b,b,1205,2023,Region 4,First Round,11,2023 Providence,6,2023 Kentucky,53,61,-8,114,0
20231206b,b,1206,2023,Region 4,First Round,14,2023 Montana St.,3,2023 Kansas St.,65,77,-12,142,0
20231207b,b,1207,2023,Region 4,First Round,10,2023 USC,7,2023 Michigan St.,62,72,-10,134,0
20231208b,b,1208,2023,Region 4,First Round,15,2023 Vermont,2,2023 Marquette,61,78,-17,139,0
20231301b,b,1301,2023,Region 2,First Round,16,2023 Northern Kentucky,1,2023 Houston,52,63,-11,115,0
20231302b,b,1302,2023,Region 2,First Round,9,2023 Auburn,8,2023 Iowa,83,75,8,158,1
20231303b,b,1303,2023,Region 2,First Round,12,2023 Drake,5,2023 Miami FL,56,63,-7,119,0
