team_id,3man_prpg!,3man_dprpg,3man_bpm,3man_obpm,3man_dbpm
2018 Butler,10.8,11.1,18,12.6,5.4
2018 Cal St. Fullerton,7.6,7.5,7.6,5,2.5
2018 Charleston,11.9,9.2,13.1,12.4,0.6
2018 Cincinnati,10.5,13.9,28.1,14.1,14
2018 Clemson,9.5,12.8,17.4,7.8,9.4
2018 Creighton,9.7,9.7,17,11.6,5.4
2018 Davidson,14.5,10.3,15.9,14.5,1.5
2018 Duke,15.2,12.7,27.5,19,8.5
2018 Florida,8.6,10.1,19.3,9.4,9.9
2018 Florida St.,8.8,9.4,16.7,10.4,6.2
2018 Georgia St.,8.8,10.4,10.5,7.1,3.3
2018 Gonzaga,10.8,10.3,21.6,14.5,7.1
2018 Houston,11.3,10.7,20.8,14.7,6.2
2018 Iona,6.5,6.6,3.6,4.1,-0.5
2018 Kansas,13.4,11.2,22.3,16.1,6.2
2018 Kansas St.,7.4,10.6,11.3,3.5,7.9
2018 Kentucky,8.5,10.4,17.7,8.9,8.9
2018 Lipscomb,7.2,8.3,9.7,7.7,1.9
2018 LIU,7.2,6.3,-0.5,3.1,-3.7
2018 Loyola Chicago,9.5,10.7,16.4,10.5,6
2018 Marshall,9.3,8.8,12.9,8.4,4.5
2018 Miami FL,7.5,10.2,14.8,7.9,6.8
2018 Michigan,10.3,11.9,20,11,9
2018 Michigan St.,12.3,11.2,28,17.5,10.3
2018 Missouri,9,10.3,16.9,8.9,7.8
2018 Montana,10,10,13,9.6,3.4
2018 Murray St.,12.5,10.4,15.8,13.9,2
2018 NC St.,9,8.8,15,11.6,3.3
2018 Nevada,12.4,9.6,18.1,15.6,2.5
2018 New Mexico St.,7.5,10.1,15,8,7
2018 North Carolina,11.9,11.3,21.7,13.9,7.9
2018 North Carolina Central,3.1,4.4,-5.3,-1.3,-4
2018 Ohio St.,11.5,11.2,23,14.9,8.1
2018 Oklahoma,10.8,8.9,15.8,10.6,5.1
2018 Penn,6.1,9.2,9.8,6.6,3.2
2018 Providence,8.3,10.8,12.1,7.1,5
2018 Purdue,14.1,11.9,24.9,19.3,5.7
2018 Radford,5.7,8.5,7.5,3,4.6
2018 Rhode Island,7.9,11.1,14.7,7.3,7.4
2018 San Diego St.,7.8,10.3,15.5,7.9,7.6
2018 Seton Hall,11.5,10.5,15,12.2,2.8
2018 South Dakota St.,10.3,9.2,14.5,10.4,4.1
2018 St. Bonaventure,9.6,10.7,12.2,8.3,3.9
2018 Stephen F. Austin,5.5,8,10.2,6.5,3.6
2018 Syracuse,8.8,13.7,12.4,4,8.4
2018 TCU,12.6,9.8,20.6,15.4,5.3
2018 Tennessee,8.4,10.6,18.6,10.6,8
2018 Texas,6,10.2,10,3.8,6.2
2018 Texas A&M,9,12.1,21.9,11.7,10.2
2018 Texas Southern,8.4,6.2,2.8,5.9,-3.2
2018 Texas Tech,11.8,11.8,27.1,16.5,10.5
2018 UCLA,11.7,9.9,13.1,11.7,1.4
2018 UMBC,8.5,9,9.5,6.7,2.9
2018 UNC Greensboro,4.8,10,8.9,3,5.9
2018 Villanova,15.8,11.5,28.7,21.5,7.1
2018 Virginia,9.8,14.4,24,9.3,14.8
2018 Virginia Tech,9.4,8.9,14.7,9.9,4.8
2018 West Virginia,12.4,11.9,24.6,14.6,10.1
2018 Wichita St.,11.8,8.1,21.2,17.7,3.4
2018 Wright St.,5.9,11,6,1.7,4.3
2018 Xavier,11.7,9,22.3,18.4,4
2019 Abilene Christian,5.6,8.4,6.6,3.4,3.4
2019 Arizona St.,7.9,10.9,11.1,6.8,4.3
2019 Auburn,10.4,8.5,17.9,15,2.9
2019 Baylor,5.8,9.5,10.2,5.7,4.6
2019 Belmont,10.8,10,20.8,14.1,6.7
2019 Bradley,3.4,7.2,4.1,0,4.2
2019 Buffalo,10.5,10.7,22,15.9,6.1
