game_id,round,team_region,team_seed,opp_region,opp_seed
r3_r4_g01,Sweet 16,Region 4,8,Region 4,12
r3_r4_g01,Sweet 16,Region 4,9,Region 4,4
r3_r4_g01,Sweet 16,Region 4,9,Region 4,13
r3_r4_g01,Sweet 16,Region 4,9,Region 4,5
r3_r4_g01,Sweet 16,Region 4,9,Region 4,12
r3_r4_g02,Sweet 16,Region 4,2,Region 4,3
r3_r4_g02,Sweet 16,Region 4,2,Region 4,14
r3_r4_g02,Sweet 16,Region 4,2,Region 4,6
r3_r4_g02,Sweet 16,Region 4,2,Region 4,11
r3_r4_g02,Sweet 16,Region 4,15,Region 4,3
r3_r4_g02,Sweet 16,Region 4,15,Region 4,14
r3_r4_g02,Sweet 16,Region 4,15,Region 4,6
r3_r4_g02,Sweet 16,Region 4,15,Region 4,11
r3_r4_g02,Sweet 16,Region 4,7,Region 4,3
r3_r4_g02,Sweet 16,Region 4,7,Region 4,14
r3_r4_g02,Sweet 16,Region 4,7,Region 4,6
r3_r4_g02,Sweet 16,Region 4,7,Region 4,11
r3_r4_g02,Sweet 16,Region 4,10,Region 4,3
r3_r4_g02,Sweet 16,Region 4,10,Region 4,14
r3_r4_g02,Sweet 16,Region 4,10,Region 4,6
r3_r4_g02,Sweet 16,Region 4,10,Region 4,11
r3_r1_g01,Sweet 16,Region 1,4,Region 1,1
r3_r1_g01,Sweet 16,Region 1,13,Region 1,1
r3_r1_g01,Sweet 16,Region 1,5,Region 1,1
r3_r1_g01,Sweet 16,Region 1,12,Region 1,1
r3_r1_g01,Sweet 16,Region 1,4,Region 1,16
r3_r1_g01,Sweet 16,Region 1,13,Region 1,16
r3_r1_g01,Sweet 16,Region 1,5,Region 1,16
r3_r1_g01,Sweet 16,Region 1,12,Region 1,16
r3_r1_g01,Sweet 16,Region 1,4,Region 1,8
r3_r1_g01,Sweet 16,Region 1,13,Region 1,8
r3_r1_g01,Sweet 16,Region 1,5,Region 1,8
r3_r1_g01,Sweet 16,Region 1,12,Region 1,8
r3_r1_g01,Sweet 16,Region 1,4,Region 1,9
r3_r1_g01,Sweet 16,Region 1,13,Region 1,9
r3_r1_g01,Sweet 16,Region 1,5,Region 1,9
r3_r1_g01,Sweet 16,Region 1,12,Region 1,9
r3_r1_g02,Sweet 16,Region 1,3,Region 1,2
r3_r1_g02,Sweet 16,Region 1,14,Region 1,2
r3_r1_g02,Sweet 16,Region 1,6,Region 1,2
r3_r1_g02,Sweet 16,Region 1,11,Region 1,2
r3_r1_g02,Sweet 16,Region 1,3,Region 1,15
r3_r1_g02,Sweet 16,Region 1,14,Region 1,15
r3_r1_g02,Sweet 16,Region 1,6,Region 1,15
r3_r1_g02,Sweet 16,Region 1,11,Region 1,15
r3_r1_g02,Sweet 16,Region 1,3,Region 1,7
r3_r1_g02,Sweet 16,Region 1,14,Region 1,7
r3_r1_g02,Sweet 16,Region 1,6,Region 1,7
r3_r1_g02,Sweet 16,Region 1,11,Region 1,7
r3_r1_g02,Sweet 16,Region 1,3,Region 1,10
r3_r1_g02,Sweet 16,Region 1,14,Region 1,10
r3_r1_g02,Sweet 16,Region 1,6,Region 1,10
r3_r1_g02,Sweet 16,Region 1,11,Region 1,10
r3_r2_g01,Sweet 16,Region 2,4,Region 2,1
r3_r2_g01,Sweet 16,Region 2,13,Region 2,1
r3_r2_g01,Sweet 16,Region 2,5,Region 2,1
r3_r2_g01,Sweet 16,Region 2,12,Region 2,1
r3_r2_g01,Sweet 16,Region 2,4,Region 2,16
r3_r2_g01,Sweet 16,Region 2,13,Region 2,16
r3_r2_g01,Sweet 16,Region 2,5,Region 2,16
r3_r2_g01,Sweet 16,Region 2,12,Region 2,16
r3_r2_g01,Sweet 16,Region 2,4,Region 2,8
r3_r2_g01,Sweet 16,Region 2,13,Region 2,8
r3_r2_g01,Sweet 16,Region 2,5,Region 2,8
r3_r2_g01,Sweet 16,Region 2,12,Region 2,8
r3_r2_g01,Sweet 16,Region 2,4,Region 2,9
r3_r2_g01,Sweet 16,Region 2,13,Region 2,9
r3_r2_g01,Sweet 16,Region 2,5,Region 2,9
