year,team,region,seed,tier,overall,offense,defense,pct_round_2,pct_sweet_16,pct_elite_eight,pct_final_four,pct_championship,pct_champion,bracket_value,5man_bpm,3man_bpm,elite_outcome_probability,efg%,def_rim_efficiency
2015,Baylor,Region 4,3,A,6.84,5.33,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6,25.7,3,49.8,12.7314
2015,North Carolina,Region 4,4,A,7.43,6.32,6.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.1,24.5,2,51.4,13.453200000000002
2015,Arkansas,Region 4,5,C,6.13,5.18,5.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,19.3,2,50.2,16.356
2015,Xavier,Region 4,6,C,5.43,4.92,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,16.2,0,53.0,12.875799999999998
2015,VCU,Region 4,7,C,5.69,3.46,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,17.8,2,48.8,16.8604
2015,Oregon,Region 4,8,F,4.94,3.84,4.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,13.9,1,52.1,14.450400000000002
2015,Oklahoma St.,Region 4,9,C,5.23,4.07,5.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,16.6,1,50.1,15.737400000000004
2015,Ohio St.,Region 4,10,B,6.44,5.86,6.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,21.1,2,54.5,16.650000000000002
2015,Mississippi,Region 4,11,C,5.04,4.04,4.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,15.8,2,48.2,14.426400000000005
2015,Wofford,Region 4,12,F,4.17,2.9,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,11.9,0,51.6,12.1033
2015,Harvard,Region 4,13,D,4.07,2.32,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,14.1,0,47.3,19.3758
2015,Georgia St.,Region 4,14,D,4.13,4.08,4.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,11.1,1,51.9,17.6196
2015,Texas Southern,Region 4,15,F,1.95,1.42,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,2.3,1,49.4,16.3152
2015,Coastal Carolina,Region 4,16,F,2.56,2.01,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,7.8,1,49.9,12.8477
2016,North Carolina,Region 2,1,S,7.98,6.82,6.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.8,27.2,3,52.1,12.450400000000002
2016,Xavier,Region 2,2,C,6.52,5.69,5.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7,19.5,1,51.5,12.4108
2016,West Virginia,Region 2,3,B,6.79,5.86,5.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,16.5,1,50.2,17.8408
2016,Kentucky,Region 2,4,A,7.62,7.53,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.4,29.0,2,53.7,17.9626
2016,Indiana,Region 2,5,B,6.46,6.6,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,18.5,3,58.6,16.382800000000003
2016,Notre Dame,Region 2,6,C,4.65,4.71,4.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,12.7,2,53.5,14.377
2016,Wisconsin,Region 2,7,C,4.82,3.47,5.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,15.4,0,49.0,15.253299999999998
2016,USC,Region 2,8,C,5.32,4.57,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,13.9,2,52.0,17.624499999999998
2016,Providence,Region 2,9,C,5.13,3.84,5.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,18.5,1,48.1,13.522
2016,Pittsburgh,Region 2,10,C,5.51,4.81,4.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,16.7,1,51.3,15.476
2016,Michigan,Region 2,11,B,4.99,4.37,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,13.7,3,55.0,10.298600000000002
2016,Chattanooga,Region 2,12,D,3.87,3.55,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,8.2,0,51.8,14.2745
2016,Stony Brook,Region 2,13,D,4.02,3.64,4.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,15.0,2,53.2,17.9848
2016,Stephen F. Austin,Region 2,14,F,5.25,5.28,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1,21.1,2,55.5,19.3674
2016,Weber St.,Region 2,15,F,3.31,3.53,3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,7.7,1,54.9,18.2742
2016,Florida Gulf Coast,Region 2,16,F,2.41,2.37,3.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,7.0,0,51.2,19.4426
